hazAb,AV,CW,DR,EC,EP,EQ,ET,FF,FL,FR,HT,HW,LS,MM,MS,SL,SN,SS,ST,TC,TO,TS,VO,VW,WF,WA,WV
AV,1,0,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,0,0,0,1,1,0,0,0,1,1
CW,0,1,0,1,1,0,1,0,0,0,0,1,1,,1,1,1,0,0,0,1,0,0,0,0,1,1
DR,1,0,1,0,0,0,1,1,1,1,1,1,0,,0,0,0,0,0,0,0,0,0,0,1,0,0
EC,1,0,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,1,0,1,0,1,1
EP,1,0,1,1,1,0,1,1,1,0,0,1,1,,1,1,1,1,1,0,1,0,0,1,0,1,1
EQ,1,0,0,0,0,1,0,0,0,0,0,0,1,,1,1,0,0,0,0,0,1,1,0,0,1,1
ET,1,1,1,1,1,0,1,1,1,1,1,1,1,,1,1,1,0,0,0,1,0,0,0,1,1,1
FF,1,0,0,0,0,0,0,1,1,0,0,0,1,,1,1,0,1,1,0,0,0,0,0,0,0,0
FL,1,0,0,0,0,0,0,1,1,0,0,0,1,,1,1,0,1,1,0,0,0,0,0,0,0,0
FR,0,0,1,1,1,0,1,0,0,1,1,1,1,,1,1,1,0,0,0,1,0,0,0,1,1,1
HT,1,0,1,1,1,0,1,0,0,1,1,1,1,,1,1,1,0,0,0,1,0,0,0,1,1,1
HW,1,0,1,1,1,0,1,0,0,1,1,1,1,,1,1,1,0,0,0,1,0,0,0,1,1,1
LS,1,0,0,1,1,1,1,0,0,0,1,1,1,,1,1,1,0,0,0,1,1,0,0,0,1,1
MM,1,0,0,1,1,1,1,0,0,0,1,1,1,,1,1,1,0,0,0,1,1,0,0,0,1,1
MS,1,0,0,1,1,1,1,0,0,0,1,1,1,,1,1,1,0,0,0,1,1,0,0,0,1,1
SL,1,0,0,1,1,1,1,0,0,0,1,1,1,,1,1,1,0,0,0,1,1,0,0,0,1,1
SN,1,1,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,1,0,1,0,0,0,0,1,1
SS,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,1,1
ST,1,0,0,1,1,0,0,1,1,0,0,0,1,,1,1,1,1,1,1,1,0,0,1,0,1,1
TC,1,1,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,0,0,1,0,1,1
TO,0,0,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,1,1,1,0,0,1,0,1,1
TS,0,0,0,0,0,0,0,1,1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,1,1
VO,1,0,0,0,0,1,0,0,0,1,0,0,1,,1,1,0,0,0,0,0,1,1,0,1,1,1
VW,1,0,0,1,0,0,0,0,0,0,0,0,0,,0,0,0,1,1,1,1,0,0,1,0,1,1
WF,0,0,0,0,0,0,0,0,0,1,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0
WA,0,0,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,0,0,1,1,0,0,0,1,1
WV,0,0,0,1,1,0,1,1,1,0,1,1,1,,1,1,1,1,0,0,1,1,0,0,0,1,1
